id,palabra,word,valencia_m,valencia_sd,activacion_m,activacion_sd,concrecion_m,concrecion_sd,imaginabilidad_m,imaginabilidad_sd,disponiblidad_contextual_m,disponibilidad_contextual_sd,familiaridad_m,familiaridad_sd,categoria_palabra
681,"hierro","iron",4.81,0.81,4.77,1.31,5.86,1.21,5.91,1.38,4.82,2.11,5.86,1.49,1
682,"hija","daughter",7.27,1.19,4.70,2.52,6.19,1.17,4.15,2.08,5.73,2.07,6.57,1.33,1
683,"hijo","son",7.05,1.56,5.27,1.96,6.20,1.51,5.85,1.69,5.85,1.63,6.67,0.80,1
684,"historia","history",5.95,1.20,4.32,1.81,2.64,1.43,2.14,1.28,5.18,2.50,6.38,0.74,1
685,"hoguera","bonfire",5.50,1.95,3.70,2.56,6.40,0.68,6.65,0.78,5.77,1.77,5.38,1.96,1
686,"hoja","sheet",5.05,0.86,3.14,1.55,5.70,1.08,6.62,1.12,6.10,1.55,6.57,0.98,1
687,"homenaje","tribute",7.00,1.26,4.50,2.09,3.24,1.55,3.91,1.82,4.14,2.01,4.57,1.99,1
688,"homicidio","homicide",1.27,0.70,7.80,1.24,4.65,2.03,4.25,2.40,4.04,2.16,4.73,1.52,1
689,"honradez","honesty",7.50,1.19,3.50,2.37,3.05,1.94,1.68,1.21,3.92,1.89,4.75,1.74,1
690,"horca","gallows",2.82,1.33,6.39,1.99,5.86,1.28,5.57,1.99,3.33,2.37,2.90,1.89,1
691,"hormigueo","tingling",5.18,1.76,6.70,1.72,4.40,1.85,3.71,2.10,4.79,1.82,4.70,1.95,1
692,"hormiguero","anthill",4.79,1.59,4.81,2.29,6.40,0.94,5.82,1.47,4.45,2.09,4.76,2.12,1
693,"hornear","to bake",6.09,1.02,3.95,1.76,5.20,1.44,4.24,2.10,5.50,1.60,4.43,1.54,2
694,"horquilla","hairpin",4.76,0.94,3.14,1.67,6.05,1.54,6.38,1.36,5.36,2.08,5.55,1.50,1
695,"horror","horror",2.45,1.43,7.20,1.36,2.70,1.75,3.55,1.70,3.86,2.10,5.73,1.16,1
696,"hotel","hotel",6.82,1.30,3.38,1.94,6.60,0.60,6.76,0.70,6.35,1.60,6.25,1.41,1
697,"huérfano","orphan",1.45,0.80,5.74,2.05,6.05,1.15,4.75,1.97,5.39,1.70,4.65,1.98,3
698,"huerto","orchard",6.74,1.39,3.55,2.28,6.10,1.30,6.57,0.81,6.18,1.37,5.55,1.85,1
699,"huevo","egg",5.00,0.73,3.65,1.57,6.57,0.68,6.91,0.29,5.91,1.51,6.81,0.68,1
700,"humanidad","humanity",6.67,1.52,5.14,2.13,3.20,1.91,3.38,1.72,4.40,1.88,5.60,1.90,1
701,"humanismo","humanism",7.39,1.41,4.50,2.20,2.29,1.23,1.74,0.86,3.45,2.15,4.24,0.83,1
702,"humildad","humility",7.60,1.96,3.32,2.50,2.60,1.64,1.64,0.73,4.96,1.77,5.15,1.76,1
703,"humillación","humiliation",1.32,0.48,7.30,1.84,2.59,1.33,3.38,1.77,4.21,2.26,5.09,1.69,1
704,"huracán","hurricane",2.62,1.36,7.27,1.35,6.00,1.56,6.14,0.99,5.73,1.49,5.14,1.81,1
705,"hurgar","poke",3.73,1.49,4.60,2.09,3.59,1.62,4.25,1.71,3.79,1.86,3.95,1.36,1
706,"idealismo","idealism",6.00,1.41,4.05,2.13,2.81,1.83,1.45,0.80,3.32,1.86,3.71,1.87,1
707,"iglesia","church",4.19,1.36,3.67,2.56,5.50,1.97,6.64,0.85,6.09,1.69,5.43,2.06,1
708,"ilusión","illusion",7.55,1.19,5.95,2.46,2.30,1.17,2.55,1.44,5.50,2.09,6.55,0.74,1
709,"imagen","image",6.42,1.47,4.10,1.64,3.05,1.93,4.90,2.02,5.20,1.96,6.80,0.52,1
710,"imán","magnet",5.19,1.47,4.10,1.74,6.24,1.37,6.30,0.92,4.41,2.20,5.20,2.04,1
711,"impermeable","waterproof",5.21,1.45,3.65,1.90,4.59,1.97,5.29,2.15,5.24,1.87,5.86,0.83,1
712,"importación","import",4.86,0.96,4.19,2.23,4.17,1.80,3.00,1.81,3.86,2.19,4.33,1.74,1
713,"impotencia","impotence",2.27,1.12,7.75,1.41,3.45,1.77,2.67,1.39,5.45,1.68,5.33,1.39,1
714,"impresionado","impressed",5.95,1.10,6.10,1.55,4.83,1.75,3.96,1.80,5.27,2.23,5.91,1.56,1
715,"impureza","impurity",3.46,1.50,5.10,1.92,3.27,1.78,2.50,1.95,2.50,2.04,3.76,1.55,1
716,"incapacidad","disability",1.88,0.90,6.24,2.36,3.36,1.53,2.55,1.28,4.60,2.04,5.24,1.48,1
717,"incendio","fire",1.35,0.59,7.86,1.73,6.32,0.78,6.15,1.53,5.83,2.12,5.86,1.32,1
718,"incentivo","incentive",7.00,1.55,6.30,1.56,3.83,1.30,2.87,1.91,2.55,1.99,4.91,1.77,1
719,"incomodidad","discomfort",2.95,0.92,6.09,2.02,3.68,1.62,2.59,1.40,4.32,1.81,6.14,0.85,1
720,"incremento","increase",6.04,1.94,5.91,2.14,3.40,1.93,3.70,1.38,4.55,2.09,5.20,1.94,1
721,"indecisión","indecision",2.95,1.05,6.40,2.01,3.45,1.74,2.76,1.79,4.41,1.89,5.65,1.42,1
722,"indicio","indication",4.86,0.94,5.05,1.73,2.40,1.67,2.24,1.22,2.59,1.99,4.33,1.59,1
723,"indio","Indian",5.10,1.02,3.75,1.83,5.52,1.29,6.32,1.13,5.00,2.45,4.75,2.15,3
724,"industria","industry",4.35,0.99,4.80,1.47,3.73,1.61,6.40,0.88,5.09,2.04,5.67,1.24,1
725,"infanta","infanta",4.25,1.33,5.00,2.08,5.48,1.25,5.64,1.56,4.50,1.85,5.23,1.93,1
726,"inferioridad","inferiority",2.15,1.18,6.23,2.20,2.50,1.19,2.80,1.40,3.70,2.27,5.10,1.81,1
727,"infiel","unfaithful",2.00,0.87,7.14,1.24,5.52,1.27,3.74,2.05,5.91,1.82,5.62,1.75,1
728,"infinito","infinity",5.91,1.31,4.70,2.68,2.41,2.20,2.36,2.01,2.95,2.24,5.67,1.56,3
729,"inflación","inflation",3.42,1.41,4.33,2.13,3.20,1.54,1.86,1.55,2.85,2.06,3.40,1.79,1
730,"información","information",5.88,1.19,5.00,1.87,2.40,1.67,2.27,1.39,5.10,1.97,6.55,1.15,1
731,"informática","computing",5.46,1.23,4.61,1.83,3.95,2.06,3.24,2.12,4.62,1.91,6.05,0.92,1
732,"informe","report",3.92,1.02,5.75,2.07,3.48,1.47,5.20,1.96,4.14,2.21,6.55,0.86,1
733,"ingrediente","ingredient",5.74,1.10,2.82,1.62,2.43,1.69,4.14,1.98,6.05,1.13,5.95,1.02,1
734,"ingresar","sign",4.05,2.19,5.05,2.33,3.77,1.57,2.50,1.92,5.58,1.79,6.00,1.34,1
735,"ingreso","entry",5.05,2.46,5.40,2.28,3.65,1.50,2.86,1.91,5.50,1.89,6.05,1.67,1
736,"inmensidad","immensity",6.59,1.68,4.40,2.58,1.95,1.19,2.76,1.87,3.50,1.99,4.90,1.37,1
737,"innovación","innovation",7.38,1.06,6.52,2.27,3.45,2.11,3.05,1.83,3.80,2.02,5.00,1.38,1
738,"inodoro","odorless",4.00,0.90,4.26,2.03,6.00,1.20,6.71,0.78,4.33,2.39,4.50,1.74,1
739,"inseguridad","insecurity",2.50,1.18,6.38,2.58,2.05,1.21,2.09,1.41,4.80,2.14,5.57,1.03,1
740,"inseguro","insecure",3.00,1.34,5.65,1.95,4.00,1.49,2.60,1.19,3.85,2.03,5.70,1.82,1
741,"insomnio","insomnia",2.65,1.53,7.05,2.38,5.18,1.76,3.18,1.82,5.26,2.16,5.30,1.69,1
742,"inspiración","inspiration",6.95,1.40,4.75,3.09,3.40,1.96,2.30,1.13,3.75,2.25,6.35,1.18,1
743,"instancia","instance",4.45,1.39,4.90,1.48,2.57,1.40,2.13,1.39,1.77,1.23,4.05,1.84,1
744,"instante","instant",5.18,1.18,4.20,2.21,2.85,1.66,1.30,0.47,3.22,2.24,5.50,1.34,1
745,"institución","institution",4.57,1.36,4.23,1.80,2.64,1.33,3.70,1.84,4.27,2.31,4.90,1.45,1
746,"instituto","institute",5.95,1.46,5.30,2.36,6.35,0.88,6.50,0.67,6.27,1.28,6.45,1.10,1
747,"insulto","insult",2.64,1.33,7.90,1.29,3.82,1.89,3.00,1.45,5.59,1.94,6.14,1.15,1
748,"intelectual","intellectual",6.95,1.43,4.15,2.41,4.60,2.04,2.45,1.47,4.87,1.69,5.05,1.53,1
749,"intensidad","intensity",6.87,1.46,6.14,2.34,3.55,2.01,2.20,1.01,4.05,2.08,5.65,1.42,1
750,"interrupción","interruption",3.25,1.25,6.09,1.93,2.95,1.39,2.77,1.57,4.96,2.14,5.50,1.43,1
751,"intruso","intruder",3.15,1.04,6.95,1.53,4.91,1.80,3.55,1.70,4.64,1.84,4.55,1.96,1
752,"inundación","flooding",2.45,1.15,6.45,1.60,5.70,0.98,5.91,1.06,5.55,1.64,5.77,1.60,1
753,"inválido","invalid",2.23,1.23,5.50,1.70,4.95,1.57,6.40,0.82,5.83,1.40,4.80,1.91,1
754,"invasión","invasion",3.00,1.48,7.35,1.69,3.20,1.88,3.25,1.80,3.91,2.00,4.62,1.50,1
755,"invernadero","emissions",5.46,1.69,3.38,1.63,6.09,0.81,6.85,0.37,4.50,1.93,4.35,2.06,1
756,"investigadora","researcher",6.55,1.39,4.95,1.67,4.52,1.50,5.52,1.60,5.50,1.54,5.30,1.63,1
757,"invitada","invited",6.30,1.38,5.20,2.21,3.71,1.65,4.76,1.64,4.55,2.02,5.76,1.84,1
758,"inyección","injection",3.59,1.68,6.77,1.66,5.27,1.32,6.30,1.38,5.83,1.47,5.45,1.68,1
759,"irritación","irritation",2.18,1.26,7.70,1.22,3.48,1.44,4.00,1.88,4.79,2.00,5.14,1.70,1
760,"jabón","soap",6.00,1.38,3.14,2.01,6.05,0.67,6.75,0.44,6.45,0.69,6.68,0.57,1
761,"jarra","jar",5.22,0.60,3.70,1.84,6.10,1.45,6.64,0.58,5.82,1.56,6.41,1.05,1
762,"jefe","boss",4.38,1.24,5.19,2.48,5.50,1.54,5.14,1.70,5.14,1.86,6.32,1.09,1
763,"jerarquía","hierarchy",4.38,1.16,4.95,2.15,3.65,1.93,4.10,1.33,3.59,2.04,4.25,1.83,1
764,"jeringa","syringe",3.05,1.46,6.27,1.78,6.38,0.74,6.80,0.41,5.83,1.72,5.00,1.87,1
765,"jeringuilla","syringe",2.86,1.33,6.45,1.47,6.70,0.73,6.95,0.22,5.58,1.93,5.74,1.21,1
766,"jersey","jersey",5.42,1.33,3.35,1.66,5.86,1.46,7.00,0.00,6.36,0.90,6.55,0.83,1
767,"jornalera","laborer",4.42,1.17,4.95,2.44,5.38,1.60,2.45,1.54,3.55,1.82,3.15,1.69,1
768,"joya","jwell",6.12,1.07,4.75,1.94,4.43,2.01,6.70,0.66,5.86,1.42,6.26,1.25,1
769,"jubiloso","jubilant",5.09,1.44,5.18,2.11,4.52,1.70,3.65,2.12,2.55,1.87,2.67,1.46,1
770,"juez","judge",4.30,1.17,5.55,2.06,6.38,0.92,6.55,0.76,5.09,2.11,5.43,1.16,1
771,"jugo","juice",5.30,0.98,3.86,1.86,4.40,1.70,4.90,1.87,3.90,2.13,4.40,2.21,1
772,"juguete","toy",6.69,1.64,3.65,1.81,3.62,2.25,6.10,1.37,6.09,1.41,6.41,1.22,1
773,"laberinto","maze",4.54,1.74,6.19,1.81,5.23,1.41,6.55,0.83,5.90,1.52,4.95,1.28,1
774,"laboratorio","laboratory",4.68,1.09,4.10,2.07,5.86,1.04,6.76,0.44,4.41,2.22,6.27,1.03,1
775,"labrador","labrador",5.41,1.01,5.05,2.01,5.32,1.46,5.59,1.74,4.27,2.33,4.33,1.49,1
776,"lado","side",5.30,0.80,3.50,1.85,3.40,1.96,4.50,1.73,4.30,2.24,6.60,0.88,1
777,"ladrillo","brick",4.65,0.75,3.65,1.90,6.73,0.55,6.73,0.55,5.68,1.99,5.60,1.64,1
778,"ladrón","thief",2.82,1.44,7.23,1.27,5.29,1.79,5.18,1.59,5.95,1.50,6.36,0.79,1
779,"ladrona","thief",2.30,1.17,6.50,1.28,5.14,1.42,5.40,1.60,5.18,1.89,5.36,1.81,1
780,"lágrima","tear",2.35,1.50,5.55,2.84,6.32,1.09,6.76,0.54,6.00,1.27,6.27,1.20,1
781,"lamento","regret",1.92,1.02,5.38,2.33,2.36,0.95,3.38,1.96,4.85,1.95,5.30,1.56,1
782,"lámpara","lamp",5.00,0.00,3.80,2.35,6.40,0.88,6.81,0.40,6.50,0.96,6.48,1.17,1
783,"lápiz","pencil",5.55,1.26,3.95,1.56,6.50,1.06,7.00,0.00,6.68,0.72,6.64,0.95,1
784,"lata","can",5.00,0.95,3.95,2.06,6.20,1.06,6.41,1.22,5.73,2.03,6.20,1.20,1
785,"latido","beat",6.67,1.62,5.60,1.98,5.55,1.70,4.20,1.77,5.15,1.81,5.65,1.31,1
786,"látigo","whip",2.70,1.58,6.15,2.46,6.76,0.44,6.61,0.94,4.77,2.25,4.64,1.65,1
787,"leche","milk",5.95,1.10,3.41,1.89,6.27,1.24,6.91,0.29,6.40,1.39,6.82,0.66,1
788,"lechera","milkmaid",5.75,1.08,3.52,1.86,5.41,1.62,4.57,1.94,4.14,2.48,3.33,1.77,1
789,"lechero","milkman",5.50,1.11,3.26,1.91,5.50,1.60,4.48,1.97,3.86,2.22,4.00,2.29,3
790,"legalidad","legality",6.60,1.88,4.00,2.62,3.68,1.84,2.67,1.46,3.91,2.13,5.29,1.55,1
791,"lejos","away",2.77,1.54,4.10,2.31,5.20,1.64,4.05,2.33,4.65,2.04,6.30,1.08,1
792,"lentilla","lens (contact lens)",5.50,1.28,4.40,2.11,6.05,1.56,6.73,0.70,6.18,1.37,6.33,1.24,1
793,"lento","slow",3.95,1.50,3.00,1.90,4.70,1.89,4.91,1.95,5.36,2.04,5.95,1.28,3
794,"leopardo","leopard",5.40,1.27,6.68,1.91,6.85,0.37,6.85,0.37,5.05,2.06,5.95,1.53,1
795,"letra","letter",5.27,1.03,3.05,1.69,5.38,1.75,6.45,1.19,5.75,2.05,6.77,0.53,1
796,"liberación","release",7.29,1.19,4.52,2.94,3.64,1.56,2.68,1.73,3.64,2.19,5.43,1.80,1
797,"liberar","release",7.32,1.29,4.45,3.05,3.10,1.92,2.57,1.33,4.88,2.03,5.65,1.80,1
798,"libertad","freedom",8.45,0.91,4.10,2.81,2.85,1.66,2.95,1.43,6.00,1.51,6.40,0.99,1
799,"libre","free",7.80,1.15,4.76,2.91,2.85,1.81,3.25,1.77,4.60,1.93,6.33,0.80,1
800,"librería","bookshop",6.61,1.53,2.64,1.62,6.36,1.33,6.30,1.13,6.50,0.86,6.27,1.03,1
801,"libreta","book",5.35,1.07,3.15,1.95,6.41,1.01,7.00,0.00,6.09,1.19,6.86,0.47,1
802,"licenciada","degree",8.31,0.88,6.55,2.46,4.81,1.91,3.75,1.62,6.27,1.28,5.32,1.91,1
803,"liga","league",5.27,1.34,4.80,1.88,3.38,1.77,5.35,2.37,4.73,2.27,5.68,1.43,1
804,"ligar","link",6.91,1.72,5.95,2.52,3.82,1.71,3.64,2.28,6.05,1.29,6.52,0.87,1
805,"lima","lime",5.05,0.94,4.27,1.75,5.32,2.01,6.45,0.74,4.55,1.82,5.48,1.70,1
806,"limón","lemon",5.27,1.20,4.45,2.06,6.82,0.39,6.95,0.22,5.70,1.98,6.45,1.01,1
807,"lince","lynx",5.81,1.47,4.50,1.54,6.52,0.98,5.75,2.07,3.65,2.23,4.76,1.30,1
808,"linterna","flashlight",5.29,0.72,3.50,1.47,6.80,0.41,6.91,0.42,5.95,1.68,6.09,1.44,1
809,"lío","mess",3.77,1.38,6.60,1.79,2.10,1.59,2.95,2.01,3.88,2.19,6.40,1.14,1
810,"lira","lira",5.81,1.12,3.55,1.50,5.59,1.99,4.00,2.43,2.65,2.25,2.67,1.56,1
811,"liso","smooth",5.20,0.95,3.50,1.74,5.15,1.90,4.62,1.77,5.64,1.43,6.27,0.98,3
812,"lista","list",4.95,0.49,4.23,1.82,3.95,1.67,6.00,1.38,5.40,1.98,6.43,0.75,1
813,"litro","liter",5.30,0.98,4.09,1.85,5.00,1.86,5.74,1.39,4.73,2.12,6.75,0.55,1
814,"llama","flame",5.18,1.26,5.35,2.35,4.15,1.76,5.95,1.39,5.25,2.15,5.86,1.17,1
815,"llamada","call",6.29,0.96,4.24,2.07,4.00,1.84,5.05,2.28,6.39,0.84,6.60,0.94,1
816,"llano","plain",4.71,1.06,2.71,1.45,5.35,2.01,5.57,1.50,4.50,1.95,4.60,1.90,3
817,"llanto","crying",2.59,1.30,6.90,1.92,6.14,0.89,5.50,1.61,6.29,0.95,5.64,1.47,1
818,"llave","key",5.50,1.36,3.77,1.77,5.64,1.71,6.95,0.22,5.95,1.90,6.91,0.43,1
819,"llovizna","drizzle",5.14,1.39,3.20,1.64,5.55,1.50,6.05,1.80,4.96,2.33,5.59,2.04,1
820,"lluvia","rain",6.25,2.07,2.82,1.74,6.14,0.83,6.73,0.55,6.50,0.86,7.00,0.00,1
821,"lobo","wolf",5.86,1.58,5.45,2.21,6.76,0.54,6.80,0.41,4.65,2.33,5.90,1.48,1
822,"loca","crazy",4.00,1.90,6.30,1.89,3.67,1.85,4.10,2.38,4.77,2.00,6.41,0.96,1
823,"local","local",4.85,0.88,4.50,2.04,3.82,1.50,5.76,1.34,4.85,2.13,6.29,0.90,1
824,"loco","crazy",4.22,2.09,6.91,1.77,3.30,1.78,4.85,1.81,5.55,1.77,6.35,0.93,3
825,"locura","madness",5.82,1.97,7.20,2.04,2.45,1.53,3.55,1.54,5.82,1.40,5.83,1.80,1
826,"logro","manage",7.45,1.28,6.27,2.00,3.50,2.12,3.05,1.70,4.45,2.30,5.40,1.39,1
827,"lotería","lottery",7.62,1.36,7.00,1.98,5.60,1.05,5.50,1.19,5.70,1.66,5.86,1.85,1
828,"lucha","struggle",3.24,1.89,6.29,1.68,4.67,1.49,4.95,1.91,5.30,1.69,5.57,1.33,1
829,"ludópata","compulsive gambler",2.15,1.09,6.70,1.42,5.10,1.51,4.91,1.69,5.45,1.99,5.23,1.48,1
830,"lugar","place",6.20,1.40,3.73,1.80,2.36,1.47,2.59,2.32,5.26,1.98,6.77,0.53,1
831,"luna","moon",6.45,1.82,2.85,2.60,5.90,1.45,6.91,0.43,5.96,1.78,6.45,1.28,1
832,"lunar","mole",5.50,1.50,4.00,2.00,6.00,1.45,6.50,1.28,4.73,2.25,5.67,1.53,1
833,"maceta","flower pot",5.35,1.04,3.18,1.79,6.23,1.34,6.81,0.51,5.25,2.38,6.19,1.36,1
834,"machista","sexist",1.39,0.72,7.32,2.48,4.23,1.72,4.24,2.10,5.50,1.74,5.75,1.12,1
835,"maduración","maturation",7.08,1.67,5.29,2.00,3.00,1.81,2.85,1.35,4.05,2.14,5.40,1.27,1
836,"maestra","teacher",6.32,1.22,4.83,1.95,5.14,1.58,6.19,0.93,6.24,1.48,6.73,0.46,1
837,"maestro","teacher",5.59,1.05,4.10,1.68,5.55,1.37,5.95,1.02,6.55,0.67,5.45,2.04,3
838,"mafioso","mafioso",3.46,1.32,5.55,1.64,5.09,1.31,5.43,1.72,4.43,1.90,4.67,2.01,1
839,"mágico","magical",7.38,1.12,6.15,2.21,2.95,1.43,3.80,1.64,4.55,1.70,6.14,1.08,3
840,"maíz","corn",5.60,1.14,3.23,1.80,6.41,0.91,6.59,0.96,5.09,2.07,5.52,1.63,1
841,"malabarista","juggler",6.14,1.21,4.43,2.33,5.55,1.44,5.38,1.56,4.71,2.05,5.09,1.51,1
842,"maldad","evil",1.30,0.88,7.77,1.51,3.52,2.23,2.50,1.30,4.55,2.04,5.90,1.07,1
843,"maldición","curse",1.86,1.21,6.85,1.98,3.52,1.78,2.00,1.20,4.00,2.31,5.25,1.86,1
844,"maldito","damn",2.09,1.11,7.15,1.57,3.23,1.63,2.75,1.74,3.32,2.17,5.10,1.73,3
845,"maleficio","hex",2.05,1.28,6.32,1.89,3.23,1.88,2.36,1.79,2.78,2.17,3.76,1.89,1
846,"maleta","suitcase",5.30,1.81,5.15,2.01,5.43,1.40,6.86,0.35,6.05,1.76,6.70,0.80,1
847,"maletero","trunk",4.52,1.03,4.25,1.62,6.40,1.10,6.52,0.87,6.09,1.27,6.36,1.00,1
848,"malo","bad",2.75,1.41,5.90,1.71,2.60,1.90,3.25,1.59,4.85,1.98,6.59,0.73,3
849,"maltrato","abuse",1.68,0.99,7.86,1.08,4.70,1.26,5.48,1.93,6.00,1.20,5.00,1.95,1
850,"malvado","evil",3.18,1.62,7.00,1.66,3.80,1.58,3.70,1.53,3.85,2.01,5.55,1.36,1
851,"manejo","handling",4.77,0.97,4.18,1.53,2.91,1.56,2.57,1.67,2.36,1.56,4.43,1.63,1
852,"manga","manga",5.55,1.44,3.73,1.75,5.41,1.37,6.18,0.96,5.10,2.31,6.36,1.29,1
853,"mango","mango",5.15,0.81,3.23,1.74,5.33,1.96,6.09,1.19,4.25,2.38,5.00,1.75,1
854,"maníaco","maniac",2.75,1.52,7.10,1.29,4.39,1.80,3.22,2.02,4.05,1.86,4.64,2.06,1
855,"manicomio","madhouse",2.09,1.19,7.05,1.36,6.45,1.28,5.50,1.93,5.91,1.44,5.19,1.47,1
856,"manta","blanket",5.95,1.10,2.35,1.42,5.48,1.44,6.95,0.21,5.86,1.61,6.65,0.59,1
857,"mantel","tablecloth",5.22,0.67,4.00,2.03,6.55,0.83,6.55,0.89,6.05,1.40,6.61,0.94,1
858,"manto","mantle",5.05,0.92,2.90,1.71,4.30,1.49,5.14,1.39,2.30,1.59,4.65,2.25,1
859,"manual","manual",5.19,0.51,3.62,1.83,4.45,1.57,5.70,1.82,5.60,1.88,5.91,1.38,1
860,"manuscrito","manuscript",5.71,1.37,3.86,1.85,5.62,1.53,5.91,1.38,3.65,2.46,4.91,1.90,1
861,"manzana","apple",5.95,1.09,3.40,1.67,6.77,0.53,6.95,0.21,6.40,1.27,6.81,0.40,1
862,"maquillaje","make up",5.75,1.78,4.74,2.22,4.73,1.98,6.14,1.65,5.71,1.52,5.70,2.03,1
863,"máquina","machine",4.80,0.77,4.35,2.13,3.05,1.70,6.26,0.81,5.32,1.76,6.05,1.66,1
864,"maquinilla","razor",4.59,1.01,4.90,1.17,5.15,1.81,5.62,1.43,5.73,1.20,5.87,1.10,1
865,"maravilla","blast",7.68,0.95,5.65,2.03,2.67,1.43,2.60,1.47,4.40,1.90,5.68,1.21,1
866,"marca","brand",5.33,1.15,4.10,2.10,3.10,1.61,4.40,1.79,5.40,2.11,6.32,0.89,1
867,"marco","frame",4.90,1.04,3.36,1.79,4.05,1.70,6.27,1.28,5.10,2.38,5.91,1.27,1
868,"margen","margin",4.71,1.10,4.10,1.89,4.81,2.09,5.73,1.55,4.05,2.54,5.81,1.08,1
869,"marginación","marginalization",1.38,0.58,6.14,2.65,3.62,1.47,3.40,1.60,5.15,1.87,4.76,1.76,1
870,"marido","husband",6.04,1.51,5.40,2.64,5.86,1.46,3.90,2.47,5.36,1.99,6.17,1.07,1
871,"marqués","marquis",4.82,0.91,3.86,1.46,5.23,1.38,4.77,1.85,2.91,2.22,3.57,1.57,1
872,"martillo","hammer",4.90,1.21,5.50,2.01,6.55,0.89,6.95,0.21,6.27,1.39,5.85,1.50,1
873,"martirio","martyrdom",2.19,1.29,6.15,1.84,2.45,1.50,2.00,1.21,2.36,1.56,3.82,1.53,1
874,"masacre","slaughter",1.55,1.71,7.59,1.05,4.50,1.76,4.70,1.49,5.30,1.75,4.67,1.71,1
875,"masaje","massage",8.25,0.99,2.57,2.58,5.55,1.32,6.48,0.75,6.30,1.30,6.19,0.87,1
876,"masajista","massage",6.89,1.31,3.48,2.31,5.68,1.39,5.38,1.63,4.90,1.79,4.80,1.82,1
877,"máscara","mask",4.93,1.54,5.00,2.34,4.09,2.09,6.33,1.06,4.62,1.99,5.85,1.60,1
878,"masturbación","masturbation",4.78,2.00,5.82,2.52,5.50,1.70,5.50,1.37,6.09,1.27,5.85,1.42,1
879,"mate","matt",4.91,1.19,4.25,2.12,4.86,1.73,4.30,2.11,3.35,2.28,4.00,1.95,1
880,"matemático","mathematician",5.86,1.58,3.85,2.21,5.70,1.45,4.55,2.16,5.00,2.13,5.57,1.40,3
881,"materia","matter",5.05,0.67,4.35,2.32,2.55,1.73,2.95,1.96,2.55,1.22,5.48,1.91,1
882,"maternidad","motherhood",7.96,1.33,6.43,2.71,5.67,1.35,5.52,1.50,6.05,1.19,4.75,2.00,1
883,"matrimonio","marriage",6.61,2.06,4.86,2.75,5.36,1.73,5.05,1.40,6.36,0.95,6.50,0.91,1
884,"mecánica","mechanics",4.75,1.29,4.60,1.82,3.86,1.24,3.32,1.73,4.73,2.25,4.70,1.98,1
885,"mecanismo","mechanism",4.45,1.10,4.30,1.87,2.50,1.50,3.77,2.07,3.04,1.83,4.95,1.99,1
886,"mechero","lighter",5.30,1.11,4.65,2.18,6.95,0.21,6.95,0.21,6.41,0.73,6.57,0.98,1
887,"mechón","tuft",4.58,0.90,4.20,1.44,5.71,1.45,6.45,0.89,5.23,1.97,5.70,1.38,1
888,"medalla","medal",7.14,0.97,5.65,2.44,5.36,1.65,6.90,0.30,4.57,1.96,5.36,1.73,1
889,"media","average",5.38,0.80,3.64,1.68,3.95,1.93,4.05,2.19,4.09,2.16,5.75,1.97,1
890,"medusa","jellyfish",3.73,1.58,5.73,1.96,6.38,1.36,6.90,0.31,6.43,0.95,4.19,1.25,1
891,"melena","mane",6.19,1.36,4.00,1.97,5.05,1.75,6.65,0.75,6.14,1.17,6.50,0.96,1
892,"mensaje","message",5.96,1.37,5.29,1.68,5.14,1.70,4.00,2.02,6.15,1.46,6.52,0.81,1
893,"mensajero","messenger",5.39,0.99,3.91,1.82,5.68,0.95,5.50,1.40,5.27,1.86,5.15,1.90,1
894,"menstruación","menstruation",2.55,1.54,6.36,2.40,6.55,0.91,6.00,1.41,6.26,1.51,6.19,1.12,1
895,"mente","mind",5.22,1.04,4.80,1.70,3.43,1.94,3.25,1.74,4.14,2.21,6.38,0.92,1
896,"mentiroso","liar",1.91,0.97,6.57,1.95,4.68,1.73,2.38,1.75,4.83,1.70,6.43,0.81,3
897,"mentón","chin",5.09,0.92,4.14,1.46,6.50,0.91,5.86,1.46,4.00,2.35,4.40,1.90,1
898,"mercado","market",5.00,1.21,5.14,2.05,4.14,2.10,6.24,1.45,5.55,1.71,5.90,1.34,1
899,"merienda","snack",6.95,1.13,4.10,2.51,5.45,1.68,5.82,1.37,6.18,1.01,6.82,0.39,1
900,"mérito","merit",7.46,1.50,6.24,2.39,3.15,1.95,2.50,1.36,4.60,1.88,6.05,1.39,1
901,"mero","mere",4.95,1.50,3.90,1.59,4.35,2.32,3.60,2.33,3.25,2.51,2.60,1.85,3
902,"mesa","table",5.18,0.73,3.60,1.79,6.35,1.18,7.00,0.00,6.55,1.06,6.91,0.29,1
903,"método","method",5.00,0.53,3.86,1.61,2.25,1.37,1.50,0.74,4.00,1.95,5.90,1.52,1
904,"metro","underground",4.67,1.02,3.85,2.37,4.50,1.71,6.65,0.75,6.05,1.82,5.50,1.50,1
905,"mezquita","mosque",4.17,1.23,4.60,2.52,6.38,1.02,6.09,1.28,4.73,2.31,3.85,2.25,1
906,"micrófono","microphone",5.36,1.22,5.70,2.03,6.55,1.00,6.91,0.29,5.50,2.04,5.80,1.67,1
907,"microscopio","microscope",5.00,0.56,3.50,1.82,6.95,0.21,6.83,0.39,5.26,2.20,5.25,1.77,1
908,"miedo","fear",2.70,1.38,6.91,2.14,4.14,2.12,2.75,1.68,5.04,1.85,6.00,1.65,1
